"mytestdate","proj","var","coef","modelname"
2022-05-31,4,"ct_sm_7_lag5",-0.0643020541495747,"lasso"
2022-05-31,4,"ct_sm_7_lag7",-0.0746370274647052,"lasso"
2022-05-31,4,"temperature_lag1",-0.00559803829336025,"lasso"
2022-05-31,4,"temperature_lag2",-0.0322024474134327,"lasso"
2022-05-31,5,"(Intercept)",0.425458132239988,"lasso"
2022-05-31,5,"scaled_case_lag1",0.809922622290109,"lasso"
2022-05-31,5,"scaled_case_lag2",0.115577828238536,"lasso"
2022-05-31,5,"ct_sm_7_lag4",-0.022591750468973,"lasso"
2022-05-31,6,"(Intercept)",0.32802331655527,"lasso"
2022-05-31,6,"scaled_case_lag1",0.817981667833149,"lasso"
2022-05-31,6,"scaled_case_lag2",0.121725270513588,"lasso"
2022-05-31,6,"ct_sm_7_lag2",-0.0405012010791989,"lasso"
2022-05-31,6,"ct_sm_7_lag3",-0.000389672804312272,"lasso"
2022-05-31,7,"(Intercept)",0.410250418332175,"lasso"
2022-05-31,7,"scaled_case_lag1",0.808427609177448,"lasso"
2022-05-31,7,"scaled_case_lag2",0.103233794455744,"lasso"
2022-05-31,7,"scaled_case_lag4",0.014847130763076,"lasso"
2022-05-31,7,"ct_sm_7_lag2",-0.0162344085044723,"lasso"
2022-05-31,8,"(Intercept)",0.370814528052936,"lasso"
2022-05-31,8,"scaled_case_lag1",0.788731760759596,"lasso"
2022-05-31,8,"scaled_case_lag2",0.0958898000642661,"lasso"
2022-05-31,8,"scaled_case_lag4",0.0461152737280735,"lasso"
2022-05-31,8,"ct_sm_7_lag1",-0.00357793736114198,"lasso"
2022-05-31,9,"(Intercept)",0.312832750069363,"lasso"
2022-05-31,9,"scaled_case_lag1",0.777842718290888,"lasso"
2022-05-31,9,"scaled_case_lag2",0.0887562343769435,"lasso"
2022-05-31,9,"scaled_case_lag5",0.0693529287786692,"lasso"
2022-05-31,9,"ct_sm_7_lag7",-0.0271695936407003,"lasso"
2022-05-31,10,"(Intercept)",0.368593931271109,"lasso"
2022-05-31,10,"scaled_case_lag1",0.684096620786475,"lasso"
2022-05-31,10,"scaled_case_lag2",0.115796873785834,"lasso"
2022-05-31,10,"scaled_case_lag6",0.122585883559061,"lasso"
2022-05-31,11,"(Intercept)",0.37715104685433,"lasso"
2022-05-31,11,"scaled_case_lag1",0.6551800549836,"lasso"
2022-05-31,11,"scaled_case_lag2",0.118038496895081,"lasso"
2022-05-31,11,"scaled_case_lag5",0.0133576865786557,"lasso"
2022-05-31,11,"scaled_case_lag6",0.132475132797163,"lasso"
2022-05-31,12,"(Intercept)",0.366733423748592,"lasso"
2022-05-31,12,"scaled_case_lag1",0.660928793488819,"lasso"
2022-05-31,12,"scaled_case_lag2",0.125609017956356,"lasso"
2022-05-31,12,"scaled_case_lag5",0.015480113446593,"lasso"
2022-05-31,12,"scaled_case_lag6",0.118048685774912,"lasso"
2022-05-31,12,"ct_sm_7_lag7",-0.0448465260136057,"lasso"
2022-05-31,13,"(Intercept)",0.486875817349542,"lasso"
2022-05-31,13,"scaled_case_lag1",0.645625129074723,"lasso"
2022-05-31,13,"scaled_case_lag2",0.120973195400666,"lasso"
2022-05-31,13,"scaled_case_lag5",0.0090458088875938,"lasso"
2022-05-31,13,"scaled_case_lag6",0.12558421300873,"lasso"
2022-05-31,13,"ct_sm_7_lag6",-0.0263598872218768,"lasso"
2022-05-31,13,"ct_sm_7_lag7",-0.00605223113943109,"lasso"
2022-05-31,14,"(Intercept)",0.44188803951092,"lasso"
2022-05-31,14,"scaled_case_lag1",0.644915375380745,"lasso"
2022-05-31,14,"scaled_case_lag2",0.127829306201758,"lasso"
2022-05-31,14,"scaled_case_lag6",0.134156317931393,"lasso"
2022-05-31,14,"ct_sm_7_lag5",-0.0256306474112294,"lasso"
2022-05-31,14,"ct_sm_7_lag6",-0.0413601350551592,"lasso"
2022-06-01,0,"(Intercept)",0.52994205144824,"lasso"
2022-06-01,0,"scaled_case_lag1",0.781955280131783,"lasso"
2022-06-01,0,"scaled_case_lag2",0.131482888148832,"lasso"
2022-06-01,0,"ct_sm_7_lag6",-0.0497676528177983,"lasso"
2022-06-01,0,"temperature_lag4",-0.0276091167093063,"lasso"
2022-06-01,0,"temperature_lag6",-0.023520946451421,"lasso"
2022-06-01,1,"(Intercept)",0.606543298270461,"lasso"
2022-06-01,1,"scaled_case_lag1",0.762607847617779,"lasso"
2022-06-01,1,"scaled_case_lag2",0.139277596309158,"lasso"
2022-06-01,1,"ct_sm_7_lag5",-0.00143727585337111,"lasso"
2022-06-01,1,"ct_sm_7_lag7",-0.0722894827128155,"lasso"
2022-06-01,1,"temperature_lag3",-0.0295011089383786,"lasso"
2022-06-01,1,"temperature_lag5",-0.0263027671311431,"lasso"
2022-06-01,2,"(Intercept)",0.587950985362296,"lasso"
2022-06-01,2,"scaled_case_lag1",0.777069053645569,"lasso"
2022-06-01,2,"scaled_case_lag2",0.127023385361834,"lasso"
2022-06-01,2,"ct_sm_7_lag6",-0.0373257554626971,"lasso"
2022-06-01,2,"ct_sm_7_lag7",-0.0323380421591317,"lasso"
2022-06-01,2,"temperature_lag2",-0.0247102050272956,"lasso"
2022-06-01,2,"temperature_lag4",-0.0247353448158891,"lasso"
2022-06-01,3,"(Intercept)",0.59863396097708,"lasso"
2022-06-01,3,"scaled_case_lag1",0.775828774748968,"lasso"
2022-06-01,3,"scaled_case_lag2",0.126632752161779,"lasso"
2022-06-01,3,"ct_sm_7_lag5",-0.0372420700781455,"lasso"
2022-06-01,3,"ct_sm_7_lag6",-0.0335794696995801,"lasso"
2022-06-01,3,"temperature_lag1",-0.036794640411487,"lasso"
2022-06-01,3,"temperature_lag3",-0.0189412636886798,"lasso"
2022-06-01,4,"(Intercept)",0.575347360072881,"lasso"
2022-06-01,4,"scaled_case_lag1",0.780318573468256,"lasso"
2022-06-01,4,"scaled_case_lag2",0.125001426189816,"lasso"
2022-06-01,4,"ct_sm_7_lag4",-0.0402142735609561,"lasso"
2022-06-01,4,"ct_sm_7_lag5",-0.0306129618418221,"lasso"
2022-06-01,4,"temperature_lag1",-0.0171881625730062,"lasso"
2022-06-01,4,"temperature_lag2",-0.0229709356001869,"lasso"
2022-06-01,5,"(Intercept)",0.33159467959605,"lasso"
2022-06-01,5,"scaled_case_lag1",0.799141173849738,"lasso"
2022-06-01,5,"scaled_case_lag2",0.138915908932194,"lasso"
2022-06-01,5,"scaled_case_lag4",0.000125650079115059,"lasso"
2022-06-01,6,"(Intercept)",0.331720109254102,"lasso"
2022-06-01,6,"scaled_case_lag1",0.784611109667404,"lasso"
2022-06-01,6,"scaled_case_lag2",0.152867061052934,"lasso"
2022-06-01,6,"scaled_case_lag4",0.00019022709076645,"lasso"
2022-06-01,7,"(Intercept)",0.329453354897422,"lasso"
2022-06-01,7,"scaled_case_lag1",0.773655912172686,"lasso"
2022-06-01,7,"scaled_case_lag2",0.117268128252263,"lasso"
2022-06-01,7,"scaled_case_lag3",0.00714752169203824,"lasso"
2022-06-01,7,"scaled_case_lag4",0.0383848878078679,"lasso"
2022-06-01,8,"(Intercept)",0.329820711243919,"lasso"
2022-06-01,8,"scaled_case_lag1",0.754326092836486,"lasso"
2022-06-01,8,"scaled_case_lag2",0.107365999733396,"lasso"
2022-06-01,8,"scaled_case_lag4",0.0732125928233477,"lasso"
2022-06-01,9,"(Intercept)",0.192604066002072,"lasso"
2022-06-01,9,"scaled_case_lag1",0.745402515148907,"lasso"
2022-06-01,9,"scaled_case_lag2",0.095274584148714,"lasso"
2022-06-01,9,"scaled_case_lag3",0.000275390340736156,"lasso"
2022-06-01,9,"scaled_case_lag4",0.0253626771166264,"lasso"
2022-06-01,9,"scaled_case_lag5",0.0605626602922671,"lasso"
2022-06-01,9,"scaled_case_lag6",0.0248071644983332,"lasso"
2022-06-01,10,"(Intercept)",0.341221893273577,"lasso"
2022-06-01,10,"scaled_case_lag1",0.658845788404257,"lasso"
2022-06-01,10,"scaled_case_lag2",0.122163055245572,"lasso"
2022-06-01,10,"scaled_case_lag6",0.143513207817178,"lasso"
2022-06-01,11,"(Intercept)",0.351032153437625,"lasso"
2022-06-01,11,"scaled_case_lag1",0.625033908039711,"lasso"
2022-06-01,11,"scaled_case_lag2",0.125740543921977,"lasso"
2022-06-01,11,"scaled_case_lag3",0.00512009564258302,"lasso"
2022-06-01,11,"scaled_case_lag6",0.164826885161342,"lasso"
2022-06-01,12,"(Intercept)",0.354589639457116,"lasso"
2022-06-01,12,"scaled_case_lag1",0.621333508979693,"lasso"
2022-06-01,12,"scaled_case_lag2",0.127800902944097,"lasso"
2022-06-01,12,"scaled_case_lag3",0.00755969109985813,"lasso"
