var,coef,proj,modelname
scaled_case_lag1,2.2117686,11,gru
temperature_lag1,0.08328749,12,gru
carbon_monoxide_lag1,0.039694816,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.15824123,12,gru
scaled_case_lag1,2.1492853,12,gru
temperature_lag7,0.06885693,13,gru
carbon_monoxide_lag7,0.046716437,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13218287,13,gru
scaled_case_lag1,2.1138792,13,gru
temperature_lag6,0.05976099,14,gru
carbon_monoxide_lag7,0.020788705,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.10620995,14,gru
scaled_case_lag1,2.059128,14,gru
temperature_lag7,0.12680657,0,gru
carbon_monoxide_lag1,0.068334326,0,gru
StringencyIndex_WeightedAverage_lag1,0.12222989,0,gru
scaled_case_lag1,1.4328597,0,gru
ct_sm_7_lag7,0.56584066,0,gru
temperature_lag7,0.13005951,1,gru
carbon_monoxide_lag1,0.066091076,1,gru
StringencyIndex_WeightedAverage_lag1,0.10696151,1,gru
scaled_case_lag1,1.4295748,1,gru
ct_sm_7_lag7,0.5823813,1,gru
temperature_lag6,0.120172895,2,gru
carbon_monoxide_lag1,0.035945974,2,gru
StringencyIndex_WeightedAverage_lag1,0.077062845,2,gru
scaled_case_lag1,1.4599457,2,gru
ct_sm_7_lag7,0.5985967,2,gru
temperature_lag5,0.116857216,3,gru
carbon_monoxide_lag1,0.032896012,3,gru
StringencyIndex_WeightedAverage_lag1,0.036948897,3,gru
scaled_case_lag1,1.5030961,3,gru
ct_sm_7_lag7,0.6129763,3,gru
temperature_lag4,0.12388403,4,gru
carbon_monoxide_lag1,0.043125317,4,gru
StringencyIndex_WeightedAverage_lag1,0.033572406,4,gru
scaled_case_lag1,1.506133,4,gru
ct_sm_7_lag7,0.61051196,4,gru
temperature_lag3,0.11670294,5,gru
carbon_monoxide_lag1,0.050942548,5,gru
StringencyIndex_WeightedAverage_lag1,0.034687046,5,gru
scaled_case_lag1,1.5200561,5,gru
ct_sm_7_lag7,0.5939679,5,gru
temperature_lag2,0.13259034,6,gru
carbon_monoxide_lag1,0.05992576,6,gru
StringencyIndex_WeightedAverage_lag1,0.05108689,6,gru
scaled_case_lag1,1.5329679,6,gru
ct_sm_7_lag7,0.6066281,6,gru
temperature_lag1,0.0828338,7,gru
carbon_monoxide_lag1,0.06557342,7,gru
StringencyIndex_WeightedAverage_lag1,0.22027527,7,gru
scaled_case_lag1,2.3963926,7,gru
temperature_lag2,0.0823134,8,gru
carbon_monoxide_lag1,0.06465889,8,gru
StringencyIndex_WeightedAverage_lag1,0.20075363,8,gru
scaled_case_lag1,2.3462849,8,gru
temperature_lag1,0.08273406,9,gru
carbon_monoxide_lag1,0.076076195,9,gru
StringencyIndex_WeightedAverage_lag1,0.21783715,9,gru
scaled_case_lag1,2.3452756,9,gru
temperature_lag1,0.07842968,10,gru
carbon_monoxide_lag1,0.072430536,10,gru
